stream_code,universe_code,domain_code,name,entity_nature,path_type,source_cluster,source_subcluster,outcome_count,outcomes_raw,education_requirement,minimum_entry_stage,recommended_pathway,core_qualifications,normalization_basis,confidence,notes,governance_status,version,source_document
LAW-STR-FAM-FAMILAWY,UNI-LAW,LAW-DOM-FAM,Family Lawyer,Legal Domain Stream,Law,Private Client Law,"Marriage, divorce, custody, succession",,Family Lawyer,LLB + Bar enrolment for practice,After LLB,LLB; family court internships; mediation skills,LLB; mediation training optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-PROP-REALESTALAWY,UNI-LAW,LAW-DOM-PROP,Real Estate Lawyer,Legal Domain Stream,Law,Property & Infrastructure,"Title, conveyancing, RERA, disputes",,Real Estate Lawyer,LLB for legal practice,After LLB,LLB; property law; title search practice; RERA exposure,LLB; real estate certificates optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-SEC-CONSPROTLAWY,UNI-LAW,LAW-DOM-SEC,Consumer Protection Lawyer,Legal Domain Stream,Law,Civil & Regulatory,"Consumer disputes, product liability",,Consumer Protection Lawyer,LLB for representation,After LLB,LLB; consumer law; drafting and court exposure,LLB,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-SEC-ENERLAWY,UNI-LAW,LAW-DOM-SEC,Energy Lawyer,Legal Domain Stream,Law,Sectoral Law,"Power, renewables, oil/gas, energy transition",,Energy Lawyer,LLB generally required,After LLB,LLB; energy regulation; environmental and project finance exposure,LLB/LLM Energy Law optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-SEC-HEALLAWYMEDILAW,UNI-LAW,LAW-DOM-SEC,Healthcare Lawyer / Medical Law Consultant,Legal Domain Stream,Law,Sectoral Law,"Hospitals, medico-legal, health regulation",,Healthcare Lawyer / Medical Law Consultant,LLB preferred; medical/legal interdisciplinary,After graduation/LLB,LLB/healthcare management/medical background; health regulations,LLB/MHA/MBBS optional depending role,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-SEC-LEGAMETRPRODCOMP,UNI-LAW,LAW-DOM-SEC,Legal Metrology / Product Compliance Consultant,Legal Domain Stream,Law,Sectoral Compliance,"Labels, packaging, weights/measures",,Legal Metrology / Product Compliance Consultant,Law/compliance useful; technical knowledge needed,After graduation,Law/commerce/science; product rules; compliance audits,LLB/BSc/BCom; sector certificates optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-SEC-FOODLAWFSSACOMP,UNI-LAW,LAW-DOM-SEC,Food Law / FSSAI Compliance Specialist,Interdisciplinary Technology-Law Stream,Law,Sectoral Compliance,"Food safety, labeling, licensing",,Food Law / FSSAI Compliance Specialist,Law/food tech useful,After 12th/graduation,Food technology/law/compliance; FSSAI rules; audit exposure,BSc Food Tech/LLB/BCom; FSSAI trainings optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-OPS-LEGAOPERMANA,UNI-LAW,LAW-DOM-OPS,Legal Operations Manager,Legal Operations Stream,Law,Legal Operations,"Budgeting, vendor, process, analytics",,Legal Operations Manager,LLB useful but not mandatory,After graduation/experience,Law/business/operations; legal project management; analytics,LLB/MBA/Lean/Six Sigma optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-OPS-LEGAPUBLLAWBOOK,UNI-LAW,LAW-DOM-OPS,Legal Publisher / Law Book Editor,Interdisciplinary Technology-Law Stream,Law,Adjacent Legal Profession,"Publishing, journals, legal databases",,Legal Publisher / Law Book Editor,LLB/English useful,After graduation,Law/English/publishing; editorial and citation skills,LLB/BA/MA English; publishing cert optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-OPS-LAWFIRMKNOWMANA,UNI-LAW,LAW-DOM-OPS,Law Firm Knowledge Management Specialist,Interdisciplinary Technology-Law Stream,Law,Legal Operations,"Precedents, research systems, training",,Law Firm Knowledge Management Specialist,LLB preferred,After LLB/graduation,LLB/library science/knowledge management; taxonomy skills,LLB/MLIS/knowledge management cert optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-EDU-LEGAACADLAWPROF,UNI-LAW,LAW-DOM-EDU,Legal Academic / Law Professor,Legal Knowledge/Education Stream,Law,Legal Education & Research,Teaching and research,,Legal Academic / Law Professor,LLM/NET/PhD generally required,After LLB/LLM,LLB + LLM; UGC NET/JRF; PhD for universities,"LLM, UGC NET, PhD",,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-EDU-LEGARESERESEASSO,UNI-LAW,LAW-DOM-EDU,Legal Researcher / Research Associate,Legal Knowledge/Education Stream,Law,Legal Education & Research,Research support,,Legal Researcher / Research Associate,LLB preferred; not always mandatory for policy/legal research,After graduation,BA/LLB/LLM; research methodology; writing portfolio,LLB/LLM/MA Public Policy optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-EDU-LEGACONTWRITEDIT,UNI-LAW,LAW-DOM-EDU,Legal Content Writer / Editor,Interdisciplinary Technology-Law Stream,Law,Adjacent Legal Profession,"Blogs, explainers, manuals, course content",,Legal Content Writer / Editor,LLB useful but not mandatory,After 12th/graduation,English/law/humanities; SEO and legal research,LLB/BA English/Journalism optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-LEGAPROCOUTSANAL,UNI-LAW,LAW-DOM-ADJ,Legal Process Outsourcing Analyst,Legal Operations Stream,Law,Legal Services Industry,Offshore legal support,,Legal Process Outsourcing Analyst,LLB useful/preferred,After graduation,LLB/BCom/BA; contract/document review training,LLB or domain degree,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-SPORLAWY,UNI-LAW,LAW-DOM-ADJ,Sports Lawyer,Legal Domain Stream,Law,Creative Economy Law,"Athlete, league, sponsorship, disputes",,Sports Lawyer,LLB preferred/required for legal advisory,After 12th/graduation,LLB + sports management/contract law exposure,LLB; sports management optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-LEGIASSIPOLIDRAF,UNI-LAW,LAW-DOM-ADJ,Legislative Assistant / Policy Drafter,Public/Judicial Service Stream,Law,Government & Policy,Law-making and legislative drafting,,Legislative Assistant / Policy Drafter,LLB/public policy useful,After graduation,Law/political science/public policy; legislative internships,LLB/MA Public Policy/Political Science,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-CIVISERVWITHLAW,UNI-LAW,LAW-DOM-ADJ,Civil Services with Law Background,Public/Judicial Service Stream,Law,Government & Policy,UPSC/MPSC/State services,,Civil Services with Law Background,LLB not mandatory; advantageous,After graduation,Any graduation; LLB useful; UPSC/State PSC preparation,Graduation; LLB optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-COMPLAWLAWY,UNI-LAW,LAW-DOM-ADJ,Competition Law Lawyer,Legal Domain Stream,Law,Corporate & Economic Regulation,"Antitrust, merger control, abuse of dominance",,Competition Law Lawyer,LLB preferred/required for legal practice,After LLB,LLB; economics and market analysis; CCI case exposure,LLB/LLM; economics useful,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-LEGAJOUR,UNI-LAW,LAW-DOM-ADJ,Legal Journalist,Interdisciplinary Technology-Law Stream,Law,Adjacent Legal Profession,"Law reporting, explainers, court journalism",,Legal Journalist,LLB helpful but not mandatory,After 12th/graduation,Journalism/English/political science/law; court beat exposure,BA Journalism/English/LLB optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-COURREPOLEGATRAN,UNI-LAW,LAW-DOM-ADJ,Court Reporter / Legal Transcription Specialist,Legal Domain Stream,Law,Adjacent Legal Profession,"Proceedings documentation, transcription",,Court Reporter / Legal Transcription Specialist,LLB not mandatory,After 10th/12th,"Stenography, language, legal terminology, transcription tools",12th + stenography/transcription training; law basics helpful,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-PARA,UNI-LAW,LAW-DOM-ADJ,Paralegal,Legal Knowledge/Education Stream,Law,Legal Support,"Research, filing, client coordination",,Paralegal,LLB not mandatory; diploma helpful,After 12th,Paralegal diploma/BA/LLB exposure; court and office training,12th/degree + paralegal certificate; LLB optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-EDUCLAWSPEC,UNI-LAW,LAW-DOM-ADJ,Education Law Specialist,Legal Knowledge/Education Stream,Law,Sectoral Law,"Universities, schools, accreditation, student rights",,Education Law Specialist,LLB preferred,After LLB/graduation,LLB/education policy; regulatory and institutional exposure,LLB/BEd/MA Education Policy optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-LEGARECRTALESPEC,UNI-LAW,LAW-DOM-ADJ,Legal Recruiter / Talent Specialist for Law Firms,Legal Operations Stream,Law,Legal Services Industry,"Recruitment, campus relations, lateral hiring",,Legal Recruiter / Talent Specialist for Law Firms,LLB/HR useful but not mandatory,After graduation,HR/business/law; legal market knowledge,BBA/MBA HR/LLB optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-COURTRIBADMI,UNI-LAW,LAW-DOM-ADJ,Court / Tribunal Administrator,Legal Operations Stream,Law,Legal Administration,"Court management, registry operations",,Court / Tribunal Administrator,LLB/public administration useful,After 12th/graduation,Public administration/law; government recruitment; e-courts skills,Graduation/LLB optional; computer skills,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-NOTA,UNI-LAW,LAW-DOM-ADJ,Notary,Legal Domain Stream,Law,Legal Services,"Authentication, affidavits, documents",,Notary,Advocate/legal professional eligibility required under rules,After LLB/practice experience,LLB; advocate practice; apply under Notaries Act/Rules,LLB + practice experience as prescribed,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-OATHCOMMCOMMFOR,UNI-LAW,LAW-DOM-ADJ,Oath Commissioner / Commissioner for Affidavits,Legal Domain Stream,Law,Legal Services,Affidavit attestation,,Oath Commissioner / Commissioner for Affidavits,Usually advocate/appointment based,After LLB/practice,LLB; advocate enrolment; local court/government appointment,LLB + advocate enrolment usually,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-ALTELEGASERVPROV,UNI-LAW,LAW-DOM-ADJ,Alternative Legal Services Provider Manager,Legal Operations Stream,Law,Legal Services Industry,"Managed legal services, GCC legal delivery",,Alternative Legal Services Provider Manager,LLB/business/operations useful,After graduation,Law/operations/project management; legal process design,LLB/MBA/Lean/Six Sigma optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ADJ-LEGAARCHCOURRECO,UNI-LAW,LAW-DOM-ADJ,Legal Archivist / Court Records & Law Library Specialist,Legal Domain Stream,Law,Knowledge & Public Records,"Law libraries, archival records, legal heritage",,Legal Archivist / Court Records & Law Library Specialist,LLB not mandatory; library science useful,After graduation,Library science/history/law; metadata and digitization skills,MLIS/History/LLB optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
LAW-STR-ENT-LEGARISKCONS,UNI-LAW,LAW-DOM-ENT,Legal Risk Consultant,Legal Domain Stream,Law,Advisory & Risk,Enterprise legal risk mapping,,Legal Risk Consultant,LLB/CS/MBA useful,After graduation,Law/business/risk; compliance frameworks; consulting skills,LLB/MBA/CS/GRC certificates optional,,,,Validated baseline,1.0,RSA_SCC_Ontology_v1.0_Law_Universe_Direct_Structure.md
